inventory_category_id,category_name,category_type,parent_category_name,parent_category_type,asset_tag,name,description,serial_number,status,quantity,unit,location,assigned_to_user_id,metadata,purchased_at,warranty_expires_at
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0001,ASUS All-in-One PC LR101,ASUS PC set with keyboard and mouse,239297,available,1,unit,LR101,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B2S2k05E3"",""mouse_serial_number"":""S256Ko5E3"",""section"":""LR101""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0002,ASUS All-in-One PC LR101,ASUS PC set with keyboard and mouse,268294,available,1,unit,LR101,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256E0"",""mouse_serial_number"":""23E S256E023E"",""section"":""LR101""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0003,ASUS All-in-One PC LR101,ASUS PC set with keyboard and mouse,24129A,available,1,unit,LR101,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256E01EF"",""mouse_serial_number"":""S256E01EF"",""section"":""LR101""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0004,ASUS All-in-One PC LR101,ASUS PC set with keyboard and mouse,298293,available,1,unit,LR101,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256E022C"",""mouse_serial_number"":""S256E022 C"",""section"":""LR101""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0005,ASUS All-in-One PC LR101,ASUS PC set with keyboard and mouse,67025F,available,1,unit,LR101,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B254V0A7C"",""mouse_serial_number"":""S254V0A7C"",""section"":""LR101""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0006,ASUS All-in-One PC LR101,ASUS PC set with keyboard and mouse,68825B,available,1,unit,LR101,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B254P0A8C"",""mouse_serial_number"":""S254E0198"",""section"":""LR101""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0007,ASUS All-in-One PC LR102,ASUS PC set with keyboard and mouse,28429D,available,1,unit,LR102,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256K05D3"",""mouse_serial_number"":""S256K05D3"",""scuola_serial_number"":""SC86008382"",""section"":""LR102""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0008,ASUS All-in-One PC LR102,ASUS PC set with keyboard and mouse,30929F,available,1,unit,LR102,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256E01F1"",""mouse_serial_number"":""S256EO1F1"",""scuola_serial_number"":""SC86008382"",""section"":""LR102""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0009,ASUS All-in-One PC LR102,ASUS PC set with keyboard and mouse,31029A,available,1,unit,LR102,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256E0214"",""mouse_serial_number"":""S256E0214"",""scuola_serial_number"":""SC86008382"",""section"":""LR102""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0010,ASUS All-in-One PC LR102,ASUS PC set with keyboard and mouse,302298,available,1,unit,LR102,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256"",""mouse_serial_number"":""E0191 S256E0191"",""scuola_serial_number"":""SC86008382"",""section"":""LR102""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0011,ASUS All-in-One PC LR102,ASUS PC set with keyboard and mouse,856277,available,1,unit,LR102,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256E0421"",""mouse_serial_number"":""S256E0421"",""scuola_serial_number"":""SC86008382"",""section"":""LR102""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0012,ASUS All-in-One PC LR102,ASUS PC set with keyboard and mouse,272299,available,1,unit,LR102,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256E0236"",""mouse_serial_number"":""S256E0236"",""scuola_serial_number"":""SC86008382"",""section"":""LR102""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0013,ASUS All-in-One PC LR102,ASUS PC set with keyboard and mouse,30029H,available,1,unit,LR102,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256E021A"",""mouse_serial_number"":""S256E0217"",""scuola_serial_number"":""SC86008382"",""section"":""LR102""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0014,ASUS All-in-One PC LR102,ASUS PC set with keyboard and mouse,24329B,available,1,unit,LR102,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256E0224"",""mouse_serial_number"":""S256E0224"",""scuola_serial_number"":""SC86008382"",""section"":""LR102""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0015,ASUS All-in-One PC LR102,ASUS PC set with keyboard and mouse,296296,available,1,unit,LR102,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256E021A"",""mouse_serial_number"":""S256E021A"",""scuola_serial_number"":""SC86008382"",""section"":""LR102""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0016,ASUS All-in-One PC LR102,ASUS PC set with keyboard and mouse,249284,available,1,unit,LR102,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256E0216"",""mouse_serial_number"":""S256 E0216"",""scuola_serial_number"":""SC86008382"",""section"":""LR102""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0017,ASUS All-in-One PC LR102,ASUS PC set with keyboard and mouse,304297,available,1,unit,LR102,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256E021C"",""mouse_serial_number"":""S256E021C"",""scuola_serial_number"":""SC86008382"",""section"":""LR102""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0018,ASUS All-in-One PC LR103,ASUS PC set with keyboard and mouse,697254,available,1,unit,LR103,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B254V0A68"",""mouse_serial_number"":""S254V0A68"",""scuola_serial_number"":""SC86008378"",""section"":""LR103""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0019,ASUS All-in-One PC LR103,ASUS PC set with keyboard and mouse,665255,available,1,unit,LR103,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256V0ABF"",""mouse_serial_number"":""S254V0A8D"",""scuola_serial_number"":""SC86008378"",""section"":""LR103""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0020,ASUS All-in-One PC LR103,ASUS PC set with keyboard and mouse,70225D,available,1,unit,LR103,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B254V0A8D"",""mouse_serial_number"":""S254V0ABF"",""scuola_serial_number"":""SC86008378"",""section"":""LR103""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0021,ASUS All-in-One PC LR103,ASUS PC set with keyboard and mouse,652259,available,1,unit,LR103,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256905DD"",""mouse_serial_number"":""S256905EB"",""scuola_serial_number"":""SC86008378"",""section"":""LR103""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0022,ASUS All-in-One PC LR103,ASUS PC set with keyboard and mouse,659257,available,1,unit,LR103,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B25690SEB"",""mouse_serial_number"":""S256905DD"",""scuola_serial_number"":""SC86008378"",""section"":""LR103""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0023,ASUS All-in-One PC LR103,ASUS PC set with keyboard and mouse,27829A,available,1,unit,LR103,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256E021F"",""mouse_serial_number"":""S256E021F"",""scuola_serial_number"":""SC86008378"",""section"":""LR103""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0024,ASUS All-in-One PC LR104,ASUS PC set with keyboard and mouse,288297,available,1,unit,LR104,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B256E0240"",""mouse_serial_number"":""S256E0240"",""scuola_serial_number"":""SC86000509"",""section"":""LR104""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0025,ASUS All-in-One PC LR105,ASUS PC set with keyboard and mouse,259298,available,1,unit,LR105,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B254E0198"",""mouse_serial_number"":""S254P0A8C"",""scuola_serial_number"":""SC86008370"",""section"":""LR105""}",,
,Computer Equipment,asset,ICT Equipment,asset_group,COMPUTER-EQUIPMENT-0026,ASUS All-in-One PC LR106,ASUS PC set with keyboard and mouse,656354,available,1,unit,LR106,,"{""source_file"":""ASUS AND SCUOLA INVENTORY.docx"",""source_files"":[""ASUS AND SCUOLA INVENTORY.docx""],""raw_remarks"":[""Functional""],""keyboard_serial_number"":""B254VDAAB"",""mouse_serial_number"":""S254VDAAB"",""scuola_serial_number"":""SC86008328"",""section"":""LR106""}",,
,CCTV Equipment,asset,Security Equipment,asset_group,CCTV-EQUIPMENT-0001,Camera (CCTV),HikVision Model: DS-20D2135FWD-1 2.8mm,C19761051,available,1,units,,,"{""source_file"":""CCTV.docx"",""source_files"":[""CCTV.docx""],""raw_remarks"":[""Functional""],""original_quantity"":""5""}",2018-07-03,
,CCTV Equipment,asset,Security Equipment,asset_group,CCTV-EQUIPMENT-0002,Camera (CCTV),HikVision Model: DS-20D2135FWD-1 2.8mm,C19761157,available,1,units,,,"{""source_file"":""CCTV.docx"",""source_files"":[""CCTV.docx""],""raw_remarks"":[""Functional""],""original_quantity"":""5""}",2018-07-03,
,CCTV Equipment,asset,Security Equipment,asset_group,CCTV-EQUIPMENT-0003,Camera (CCTV),HikVision Model: DS-20D2135FWD-1 2.8mm,C19761213,available,1,units,,,"{""source_file"":""CCTV.docx"",""source_files"":[""CCTV.docx""],""raw_remarks"":[""Functional""],""original_quantity"":""5""}",2018-07-03,
,CCTV Equipment,asset,Security Equipment,asset_group,CCTV-EQUIPMENT-0004,Camera (CCTV),HikVision Model: DS-20D2135FWD-1 2.8mm,C19761142,available,1,units,,,"{""source_file"":""CCTV.docx"",""source_files"":[""CCTV.docx""],""raw_remarks"":[""Functional""],""original_quantity"":""5""}",2018-07-03,
,CCTV Equipment,asset,Security Equipment,asset_group,CCTV-EQUIPMENT-0005,Camera (CCTV),HikVision Model: DS-20D2135FWD-1 2.8mm,C19761082,available,1,units,,,"{""source_file"":""CCTV.docx"",""source_files"":[""CCTV.docx""],""raw_remarks"":[""Functional""],""original_quantity"":""5""}",2018-07-03,
