inventory_category_id,category_name,category_type,parent_category_name,parent_category_type,asset_tag,name,description,serial_number,status,quantity,unit,location,assigned_to_user_id,metadata,purchased_at,warranty_expires_at
,Audio Equipment,asset,Audio Visual Equipment,asset_group,AUDIO-EQUIPMENT-0002,Allen & Heath ZED 22 FX / Black,ZED 22 FX / Black,Z22FXX302107,available,1,unit,SHoJ Control Room,,"{""source_file"":""control room(1).docx"",""source_files"":[""control room(1).docx""],""raw_remarks"":[""Functional""]}",,
,Audio Equipment,asset,Audio Visual Equipment,asset_group,AUDIO-EQUIPMENT-0006,Extron DTP HDMI 230 RX,DTP HDMI 230 RX,"A0T7UMQ ER 25889, A0T7UH5 ER 25889, A0T7U2V ER 25889, A0T7U40 ER 25889, A0T7UU1 ER 25889, A0T7UAV ER 25889",available,6,units,SHOJ Control Room,,"{""source_file"":""control room(1).docx"",""source_files"":[""control room(1).docx""],""raw_remarks"":[""Functional""]}",2016-05-10,
,Audio Equipment,asset,Audio Visual Equipment,asset_group,AUDIO-EQUIPMENT-0005,Extron DTP HDMI 230 TX,DTP HDMI 230 TX,"A0T7T4U ER 25971, A0T7TIK ER 25971, A0T4X0W ER 25971",available,3,units,SHOJ Control Room,,"{""source_file"":""control room(1).docx"",""source_files"":[""control room(1).docx""],""raw_remarks"":[""Functional""]}",2016-05-10,
,Audio Equipment,asset,Audio Visual Equipment,asset_group,AUDIO-EQUIPMENT-0004,Extron DXP 44 HDMI,DXP 44 HDMI,A0RW60A ER 26013,available,1,unit,SHOJ Control Room,,"{""source_file"":""control room(1).docx"",""source_files"":[""control room(1).docx""],""raw_remarks"":[""Functional""]}",2016-05-10,
,Audio Equipment,asset,Audio Visual Equipment,asset_group,AUDIO-EQUIPMENT-0007,Extron RGB HDMI 300A,RGB HDMI 300A,"A0Q4VA6 ER 258850, A0Q4V9U ER 258850, A0Q4VCC ER 258850",available,3,units,SHOJ Control Room,,"{""source_file"":""control room(1).docx"",""source_files"":[""control room(1).docx""],""raw_remarks"":[""Functional""]}",2016-05-10,
,Audio Equipment,asset,Audio Visual Equipment,asset_group,AUDIO-EQUIPMENT-0008,Speaker,Alto Professional Trouper 011242,UT1804112412446,available,1,unit,LR 101 E-Learning / Research Lab,,"{""source_file"":""LR101(1).docx"",""source_files"":[""LR101(1).docx""]}",,
,Audio Equipment,asset,Audio Visual Equipment,asset_group,AUDIO-EQUIPMENT-0009,Speaker,Alto Professional Trouper 011242,UT1804112412548,available,1,unit,LR 102 Programming & Web Development Lab,,"{""source_file"":""LR102(1).docx"",""source_files"":[""LR102(1).docx""]}",,
,Audio Equipment,asset,Audio Visual Equipment,asset_group,AUDIO-EQUIPMENT-0010,Speaker,Alto Professional Trouper 011242,UT1804112412447,available,1,unit,LR 103 Multi Media / Programming Lab,,"{""source_file"":""LR103(1).docx"",""source_files"":[""LR103(1).docx""]}",,
,Audio Equipment,asset,Audio Visual Equipment,asset_group,AUDIO-EQUIPMENT-0011,Speaker,Alto Professional Trouper 011242,UT1804112412434,available,1,unit,LR 104 Networking / Computer Hardware Servicing Lab,,"{""source_file"":""LR104(1).docx"",""source_files"":[""LR104(1).docx""]}",,
,Audio Equipment,asset,Audio Visual Equipment,asset_group,AUDIO-EQUIPMENT-0012,Speaker,Alto Professional Trouper 011242,UT1804112412549,available,1,unit,LR 105 Applications Development Lab I,,"{""source_file"":""LR105(1).docx"",""source_files"":[""LR105(1).docx""]}",,
,Audio Equipment,asset,Audio Visual Equipment,asset_group,AUDIO-EQUIPMENT-0013,Speaker,Alto Professional Trouper 011242,UT1804112412435,available,1,unit,LR 106 Applications Development Lab II,,"{""source_file"":""LR106(1).docx"",""source_files"":[""LR106(1).docx""]}",,
,Audio Equipment,asset,Audio Visual Equipment,asset_group,AUDIO-EQUIPMENT-0001,Speaker Vision / Black,Vision / Black,,available,1,unit,SHoJ Control Room,,"{""source_file"":""control room(1).docx"",""source_files"":[""control room(1).docx""],""raw_remarks"":[""Functional""]}",,
,Audio Equipment,asset,Audio Visual Equipment,asset_group,AUDIO-EQUIPMENT-0003,Symnet Express 8x8 Cobra / Black,Express 8x8 Cobra / Black,58X8ECAEU3712009248,available,1,unit,SHoJ Control Room,,"{""source_file"":""control room(1).docx"",""source_files"":[""control room(1).docx""],""raw_remarks"":[""Functional""]}",,
,Headset,asset,Audio Visual Equipment,asset_group,HEADSET-0002,Headset,Headset,,available,1,unit,ICT,,"{""custodian"":""Sir Jiro"",""raw_total"":""40 units"",""source_file"":""headset(1).xlsx"",""source_files"":[""headset(1).xlsx""]}",,
,Headset,asset,Audio Visual Equipment,asset_group,HEADSET-0003,Headset,Headset,,available,1,unit,RPO,,"{""custodian"":""c/o Mam Coy"",""raw_total"":""40 units"",""source_file"":""headset(1).xlsx"",""source_files"":[""headset(1).xlsx""]}",,
